Dataset,Cross Validation,Accuracy,F1_Score,Precisions,Recalls,Running_Time,FeatureEncoder_Time,TruePositive,FalsePositive,FalseNegative,TrueNegative
bpi_2013_closed_problems.xes.gz_Train_All,2,0.6495901639344263,0.5624567735832153,0.5360178518677214,0.6495901639344263,7.031389474868774,0.020917892456054688,951,513,513,3879
bpi_2013_closed_problems.xes.gz_Train_All,3,0.5973101265822784,0.5425930511083393,0.6309995780767089,0.5973101265822784,6.176152944564819,0.029957294464111328,755,509,509,3283
bpi_2013_closed_problems.xes.gz_Train_All,4,0.5831037649219467,0.4749676132520423,0.6658476516644196,0.5831037649219467,7.166448593139648,0.026927709579467773,635,454,454,2813
bpi_2013_closed_problems.xes.gz_Train_All,5,0.5771375464684015,0.4679786533767032,0.569058953458885,0.5771375464684015,7.2144858837127686,0.022026538848876953,621,455,455,2773
bpi_2013_closed_problems.xes.gz_Train_divide_2,2,0.5020491803278688,0.4083307588274245,0.4941826526894991,0.5020491803278688,5.450982570648193,0.013963937759399414,735,729,729,3663
bpi_2013_closed_problems.xes.gz_Train_divide_2,3,0.46439873417721517,0.348619048786316,0.5032672228227963,0.46439873417721517,5.336184501647949,0.019907712936401367,587,677,677,3115
bpi_2013_closed_problems.xes.gz_Train_divide_2,4,0.4719926538108356,0.3743043437551339,0.44639411187963124,0.4719926538108356,5.623945951461792,0.017731904983520508,514,575,575,2692
bpi_2013_closed_problems.xes.gz_Train_divide_2,5,0.41356877323420077,0.31417561324405846,0.4210090358102669,0.41356877323420077,5.459669589996338,0.01564645767211914,445,631,631,2597
bpi_2013_closed_problems.xes.gz_Train_divide_3,2,0.45901639344262296,0.3025402912138755,0.46616506069327995,0.45901639344262296,5.301452875137329,0.013960838317871094,672,792,792,3600
bpi_2013_closed_problems.xes.gz_Train_divide_3,3,0.49683544303797467,0.38578745628341254,0.6501876238871889,0.49683544303797467,5.454182863235474,0.016032934188842773,628,636,636,3156
bpi_2013_closed_problems.xes.gz_Train_divide_3,4,0.33884297520661155,0.18873258770737233,0.36372675997745835,0.33884297520661155,5.372044563293457,0.018681764602661133,369,720,720,2547
bpi_2013_closed_problems.xes.gz_Train_divide_3,5,0.3271375464684015,0.18530151390925564,0.34007208571054653,0.3271375464684015,5.145037889480591,0.018053054809570312,352,724,724,2504
bpi_2013_closed_problems.xes.gz_Train_divide_5,2,0.453551912568306,0.2838188986523743,0.4135637155481849,0.453551912568306,4.816211938858032,0.012279510498046875,664,800,800,3592
bpi_2013_closed_problems.xes.gz_Train_divide_5,3,0.40110759493670883,0.23776930451562,0.345823062624385,0.40110759493670883,4.639002323150635,0.01595616340637207,507,757,757,3035
bpi_2013_closed_problems.xes.gz_Train_divide_5,4,0.32598714416896235,0.16143424036586457,0.378494166261546,0.32598714416896235,4.7928783893585205,0.020807504653930664,355,734,734,2533
bpi_2013_closed_problems.xes.gz_Train_divide_5,5,0.3104089219330855,0.14823984449954755,0.3718889945534711,0.3104089219330855,4.8379456996917725,0.019887685775756836,334,742,742,2486
bpi_2013_closed_problems.xes.gz_Train_divide_10,2,0.453551912568306,0.2838165324964402,0.34115934396348546,0.453551912568306,4.405581712722778,0.01100778579711914,664,800,800,3592
bpi_2013_closed_problems.xes.gz_Train_divide_10,3,0.39556962025316456,0.22604921992462884,0.19455793238906902,0.39556962025316456,4.312577247619629,0.019617080688476562,500,764,764,3028
bpi_2013_closed_problems.xes.gz_Train_divide_10,4,0.325068870523416,0.15949325040234133,0.10566977058336938,0.325068870523416,4.3149213790893555,0.01364755630493164,354,735,735,2532
bpi_2013_closed_problems.xes.gz_Train_divide_10,5,0.30947955390334575,0.14628345131272413,0.09577759428421388,0.30947955390334575,4.358179807662964,0.017658710479736328,333,743,743,2485
bpi_2013_closed_problems.xes.gz_Train_log_2,2,0.45286885245901637,0.2823244468080187,0.20509019752754634,0.45286885245901637,3.19214129447937,0.005871295928955078,663,801,801,3591
bpi_2013_closed_problems.xes.gz_Train_log_2,3,0.3963607594936709,0.2250161365510812,0.15710185166639962,0.3963607594936709,3.208854913711548,0.009044170379638672,501,763,763,3029
bpi_2013_closed_problems.xes.gz_Train_log_2,4,0.325068870523416,0.15949325040234133,0.10566977058336938,0.325068870523416,3.405954360961914,0.013962030410766602,354,735,735,2532
bpi_2013_closed_problems.xes.gz_Train_log_2,5,0.30947955390334575,0.14628345131272413,0.09577759428421388,0.30947955390334575,3.533876895904541,0.008976221084594727,333,743,743,2485
bpi_2013_closed_problems.xes.gz_Train_log_3,2,0.45286885245901637,0.2823244468080187,0.20509019752754634,0.45286885245901637,2.9001593589782715,0.005984306335449219,663,801,801,3591
bpi_2013_closed_problems.xes.gz_Train_log_3,3,0.3963607594936709,0.2250161365510812,0.15710185166639962,0.3963607594936709,3.3180768489837646,0.005710601806640625,501,763,763,3029
bpi_2013_closed_problems.xes.gz_Train_log_3,4,0.325068870523416,0.15949325040234133,0.10566977058336938,0.325068870523416,3.253960132598877,0.008673667907714844,354,735,735,2532
bpi_2013_closed_problems.xes.gz_Train_log_3,5,0.30947955390334575,0.14628345131272413,0.09577759428421388,0.30947955390334575,2.971574068069458,0.00865316390991211,333,743,743,2485
bpi_2013_closed_problems.xes.gz_Train_log_5,2,0.46311475409836067,0.3163678324662296,0.3787886385938582,0.46311475409836067,2.7045059204101562,0.004986763000488281,678,786,786,3606
bpi_2013_closed_problems.xes.gz_Train_log_5,3,0.38924050632911394,0.2267198881550114,0.16694337290954447,0.38924050632911394,2.884880781173706,0.006925106048583984,492,772,772,3020
bpi_2013_closed_problems.xes.gz_Train_log_5,4,0.418732782369146,0.32810940967046104,0.43850730949986916,0.418732782369146,3.034585475921631,0.006654500961303711,456,633,633,2634
bpi_2013_closed_problems.xes.gz_Train_log_5,5,0.2732342007434944,0.22348597926801453,0.4330842092864556,0.2732342007434944,2.6703765392303467,0.006979703903198242,294,782,782,3522
bpi_2013_closed_problems.xes.gz_Train_log_10,2,0.42691256830601093,0.27369881294629467,0.22096801034071734,0.42691256830601093,2.715486526489258,0.004710197448730469,625,839,839,5017
bpi_2013_closed_problems.xes.gz_Train_log_10,3,0.3987341772151899,0.23276499167824075,0.3531530391831063,0.3987341772151899,3.031860828399658,0.007976770401000977,504,760,760,4296
bpi_2013_closed_problems.xes.gz_Train_log_10,4,0.325068870523416,0.15949325040234133,0.10566977058336938,0.325068870523416,3.446565866470337,0.005983591079711914,354,735,735,2532
bpi_2013_closed_problems.xes.gz_Train_log_10,5,0.30855018587360594,0.1459477441703278,0.09557880176363794,0.30855018587360594,2.780062437057495,0.006981372833251953,332,744,744,2484
bpi_2013_closed_problems.xes.gz_Train_unique_2,2,0.45286885245901637,0.2825901639344262,0.20537075867327484,0.45286885245901637,4.333624839782715,0.008979558944702148,663,801,801,3591
bpi_2013_closed_problems.xes.gz_Train_unique_2,3,0.3963607594936709,0.22552724645806826,0.1576005877034358,0.3963607594936709,4.057716369628906,0.01465463638305664,501,763,763,3029
bpi_2013_closed_problems.xes.gz_Train_unique_2,4,0.3241505968778696,0.15970676589389818,0.10595504274678286,0.3241505968778696,4.170757532119751,0.01097416877746582,353,736,736,2531
bpi_2013_closed_problems.xes.gz_Train_unique_2,5,0.30947955390334575,0.14628345131272413,0.09577759428421388,0.30947955390334575,4.138359069824219,0.01204991340637207,333,743,743,2485
env_permit.xes.gz_Train_All,2,0.6841491841491841,0.6573150139113582,0.6507997124873989,0.6841491841491841,6.092227935791016,0.030916452407836914,1174,542,542,35494
env_permit.xes.gz_Train_log_2,2,0.2698135198135198,0.14438482977481742,0.11816691721491014,0.2698135198135198,4.170361042022705,0.006983757019042969,463,1253,1253,34783
env_permit.xes.gz_Train_log_3,2,0.15093240093240093,0.08271632723595758,0.097962796562431,0.15093240093240093,2.8902759552001953,0.005954265594482422,259,1457,1457,36295
env_permit.xes.gz_Train_log_5,2,0.243006993006993,0.16130672528657197,0.21331972180366407,0.243006993006993,3.0120301246643066,0.005984067916870117,417,1299,1299,38169
env_permit.xes.gz_Train_log_10,2,0.23193473193473194,0.12027440536532177,0.19744430567986418,0.23193473193473194,2.636587142944336,0.004024505615234375,398,1318,1318,38150
sudden_trace_noise5_1000_cd.xes.gz_Train_All,2,0.7878787878787878,0.7669266315706199,0.7806915003536479,0.7878787878787878,14.58928656578064,0.02111649513244629,1638,441,441,30744
sudden_trace_noise5_1000_cd.xes.gz_Train_All,3,0.7768829938417812,0.7468479911516658,0.7712875548131501,0.7768829938417812,14.073744535446167,0.033090829849243164,1640,471,471,31194
sudden_trace_noise5_1000_cd.xes.gz_Train_All,4,0.7734833659491194,0.7519728574657254,0.7468555665305209,0.7734833659491194,13.464721918106079,0.02607417106628418,1581,463,463,30197
sudden_trace_noise5_1000_cd.xes.gz_Train_All,5,0.7919847328244275,0.7777533785801134,0.7778149092334458,0.7919847328244275,14.113904237747192,0.023935794830322266,1660,436,436,31004
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_2,2,0.6339586339586339,0.5941712388879596,0.5829679219274981,0.6339586339586339,8.784183502197266,0.01363229751586914,1318,761,761,30424
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_2,3,0.6504026527711985,0.6047764152387322,0.6101877404459358,0.6504026527711985,8.881709098815918,0.025591611862182617,1373,738,738,30927
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_2,4,0.6541095890410958,0.613098437384799,0.6104622720959837,0.6541095890410958,8.60411524772644,0.01798272132873535,1337,707,707,29953
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_2,5,0.6264312977099237,0.5786237285701494,0.60314169549552,0.6264312977099237,8.78548264503479,0.016955852508544922,1313,783,783,30657
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_3,2,0.5040885040885041,0.4391834211940346,0.5121299557724568,0.5040885040885041,7.404523134231567,0.009974479675292969,1048,1031,1031,30154
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_3,3,0.5665561345333965,0.503818582390639,0.5490306366385787,0.5665561345333965,6.998445510864258,0.02094411849975586,1196,915,915,30750
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_3,4,0.49559686888454013,0.4215499154588895,0.44007832668850316,0.49559686888454013,7.032000780105591,0.021942853927612305,1013,1031,1031,29629
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_3,5,0.47280534351145037,0.3840039926144675,0.38654968472855933,0.47280534351145037,6.98072361946106,0.02094292640686035,991,1105,1105,30335
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_5,2,0.4208754208754209,0.3305481443999541,0.34426601947967905,0.4208754208754209,5.426085710525513,0.009908199310302734,875,1204,1204,29981
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_5,3,0.3012790146849834,0.22677071324225367,0.24986225922316546,0.3012790146849834,5.668838977813721,0.01000833511352539,636,1475,1475,30190
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_5,4,0.42025440313111545,0.3518834319504333,0.4085080461181297,0.42025440313111545,5.829941987991333,0.010963916778564453,859,1185,1185,29475
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_5,5,0.32967557251908397,0.23922852453535426,0.33417253586670126,0.32967557251908397,5.863222122192383,0.013004541397094727,691,1405,1405,30035
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_10,2,0.19624819624819625,0.09013698539069073,0.06114134165627279,0.19624819624819625,4.965762138366699,0.00907754898071289,408,1671,1671,29514
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_10,3,0.14448128848886785,0.07935070739632859,0.25659009814490563,0.14448128848886785,4.712199687957764,0.008975982666015625,305,1806,1806,29859
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_10,4,0.12622309197651663,0.08521239881859918,0.2564436491901478,0.12622309197651663,4.489806652069092,0.011968135833740234,258,1786,1786,28874
sudden_trace_noise5_1000_cd.xes.gz_Train_divide_10,5,0.1650763358778626,0.10013790432382123,0.1631995872296798,0.1650763358778626,4.475512742996216,0.009973764419555664,346,1750,1750,29690
sudden_trace_noise5_1000_cd.xes.gz_Train_log_2,2,0.139009139009139,0.07560999155741678,0.09693415959777049,0.139009139009139,4.962925434112549,0.0059833526611328125,289,1790,1790,29395
sudden_trace_noise5_1000_cd.xes.gz_Train_log_2,3,0.162482235907153,0.11073407037949633,0.15237317831224773,0.162482235907153,4.756505012512207,0.010053634643554688,343,1768,1768,29897
sudden_trace_noise5_1000_cd.xes.gz_Train_log_2,4,0.17416829745596868,0.12234750265421147,0.16556382582436285,0.17416829745596868,4.722194194793701,0.009972572326660156,356,1688,1688,28972
sudden_trace_noise5_1000_cd.xes.gz_Train_log_2,5,0.14885496183206107,0.08569063052634786,0.22382021928471074,0.14885496183206107,4.897001504898071,0.011894464492797852,312,1784,1784,29656
sudden_trace_noise5_1000_cd.xes.gz_Train_log_3,2,0.36363636363636365,0.28532335910365736,0.27472716249497947,0.36363636363636365,4.1494176387786865,0.00598597526550293,756,1323,1323,29862
sudden_trace_noise5_1000_cd.xes.gz_Train_log_3,3,0.11937470393178588,0.06142577307810835,0.16031617854045202,0.11937470393178588,4.011721134185791,0.010166645050048828,252,1859,1859,29806
sudden_trace_noise5_1000_cd.xes.gz_Train_log_3,4,0.27299412915851273,0.18636488926781347,0.22082896075080227,0.27299412915851273,4.091145753860474,0.009005546569824219,558,1486,1486,29174
sudden_trace_noise5_1000_cd.xes.gz_Train_log_3,5,0.10925572519083969,0.04895634391947344,0.07342479973942659,0.10925572519083969,3.9954745769500732,0.01000070571899414,229,1867,1867,29573
sudden_trace_noise5_1000_cd.xes.gz_Train_log_5,2,0.23857623857623858,0.1780048949601538,0.1949353336053342,0.23857623857623858,3.7850341796875,0.003986358642578125,496,1583,1583,29602
sudden_trace_noise5_1000_cd.xes.gz_Train_log_5,3,0.2657508289909995,0.1439608717365929,0.31459994658571716,0.2657508289909995,3.597867727279663,0.007977962493896484,561,1550,1550,30115
sudden_trace_noise5_1000_cd.xes.gz_Train_log_5,4,0.18737769080234834,0.14447846086730617,0.1738488337029078,0.18737769080234834,3.588353395462036,0.006982326507568359,383,1661,1661,28999
sudden_trace_noise5_1000_cd.xes.gz_Train_log_5,5,0.21946564885496184,0.1510782270410591,0.17178967433169406,0.21946564885496184,3.54219913482666,0.00897669792175293,460,1636,1636,29804
sudden_trace_noise5_1000_cd.xes.gz_Train_log_10,2,0.2809042809042809,0.21763090570412258,0.22802568218026156,0.2809042809042809,3.505915403366089,0.005015373229980469,584,1495,1495,29690
sudden_trace_noise5_1000_cd.xes.gz_Train_log_10,3,0.22832780672666983,0.16460201257665827,0.27796237097160137,0.22832780672666983,3.5078036785125732,0.006953716278076172,482,1629,1629,30036
sudden_trace_noise5_1000_cd.xes.gz_Train_log_10,4,0.16536203522504891,0.09729178070918937,0.11860730370514987,0.16536203522504891,4.159700870513916,0.008198261260986328,338,1706,1706,28954
sudden_trace_noise5_1000_cd.xes.gz_Train_log_10,5,0.12833969465648856,0.0725452627708143,0.17144648713828434,0.12833969465648856,3.5817384719848633,0.0069789886474609375,269,1827,1827,29613
sudden_trace_noise5_1000_cd.xes.gz_Train_unique_2,2,0.08802308802308802,0.03107057371579499,0.026897398029760797,0.08802308802308802,3.749098539352417,0.004985809326171875,183,1896,1896,29289
sudden_trace_noise5_1000_cd.xes.gz_Train_unique_2,3,0.08810990052108006,0.025141455350415506,0.14077426852995115,0.08810990052108006,3.7351796627044678,0.008976221084594727,186,1925,1925,29740
sudden_trace_noise5_1000_cd.xes.gz_Train_unique_2,4,0.08268101761252446,0.012628189766395511,0.0068361506734425795,0.08268101761252446,3.5953829288482666,0.007946491241455078,169,1875,1875,28785
sudden_trace_noise5_1000_cd.xes.gz_Train_unique_2,5,0.10639312977099237,0.05422705448636284,0.06407776081908158,0.10639312977099237,3.611436605453491,0.008998394012451172,223,1873,1873,29567
